,imageID,image_path,category,characterID_category,characterID_sum
0,0459_14,0459_14.png,Gujarati,character42,1
1,0459_01,0459_01.png,Gujarati,character42,1
2,0459_15,0459_15.png,Gujarati,character42,1
3,0459_03,0459_03.png,Gujarati,character42,1
4,0459_17,0459_17.png,Gujarati,character42,1
5,0459_16,0459_16.png,Gujarati,character42,1
6,0459_02,0459_02.png,Gujarati,character42,1
7,0459_06,0459_06.png,Gujarati,character42,1
8,0459_12,0459_12.png,Gujarati,character42,1
9,0459_13,0459_13.png,Gujarati,character42,1
10,0459_07,0459_07.png,Gujarati,character42,1
11,0459_11,0459_11.png,Gujarati,character42,1
12,0459_05,0459_05.png,Gujarati,character42,1
13,0459_04,0459_04.png,Gujarati,character42,1
14,0459_10,0459_10.png,Gujarati,character42,1
15,0459_09,0459_09.png,Gujarati,character42,1
16,0459_20,0459_20.png,Gujarati,character42,1
17,0459_08,0459_08.png,Gujarati,character42,1
18,0459_18,0459_18.png,Gujarati,character42,1
19,0459_19,0459_19.png,Gujarati,character42,1
20,0462_09,0462_09.png,Gujarati,character45,2
21,0462_20,0462_20.png,Gujarati,character45,2
22,0462_08,0462_08.png,Gujarati,character45,2
23,0462_18,0462_18.png,Gujarati,character45,2
24,0462_19,0462_19.png,Gujarati,character45,2
25,0462_03,0462_03.png,Gujarati,character45,2
26,0462_17,0462_17.png,Gujarati,character45,2
27,0462_16,0462_16.png,Gujarati,character45,2
28,0462_02,0462_02.png,Gujarati,character45,2
29,0462_14,0462_14.png,Gujarati,character45,2
30,0462_01,0462_01.png,Gujarati,character45,2
31,0462_15,0462_15.png,Gujarati,character45,2
32,0462_11,0462_11.png,Gujarati,character45,2
33,0462_05,0462_05.png,Gujarati,character45,2
34,0462_04,0462_04.png,Gujarati,character45,2
35,0462_10,0462_10.png,Gujarati,character45,2
36,0462_06,0462_06.png,Gujarati,character45,2
37,0462_12,0462_12.png,Gujarati,character45,2
38,0462_13,0462_13.png,Gujarati,character45,2
